,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'log2', 10, -1)",0.350139895,0.990512848,0.517386872,0.584672476,0.956630164,0.725769634,0.693211436,0.937222162,0.796957474,0.788773311,0.91260978,0.846184779,0.944615199,0.849723517,0.894660236,0.556821998
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 50, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 50, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 50, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 1, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 1, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 1, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 10, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 10, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 10, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 100, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 100, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 100, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 20, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 20, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 20, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 5, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 5, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 5, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 10)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 2)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 5)",0.348344851,0.989211753,0.515248207,0.580388547,0.957172287,0.722614443,0.696118777,0.935378944,0.798205033,0.793492101,0.912176082,0.848704951,0.944039516,0.849615093,0.894341884,0.557903608
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'sqrt', 10, -1)",0.351786885,0.98937439,0.519026221,0.583369152,0.956521739,0.724733524,0.693063746,0.936571614,0.796624628,0.79165492,0.913368752,0.848167539,0.943858804,0.849452456,0.894170685,0.554496586
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'log2', 10, -1)",0.350994523,0.990133362,0.518267334,0.577152739,0.95890708,0.72059153,0.695725738,0.936246341,0.798262035,0.782536074,0.914344573,0.843321083,0.943825637,0.849831942,0.894365996,0.555349606
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (100, 5, 'sqrt', 10, -1)",0.350236867,0.989970725,0.517418715,0.580089992,0.95749756,0.72247561,0.683588812,0.938035346,0.790849673,0.794442348,0.912880841,0.849553504,0.943090898,0.849886154,0.894065984,0.555515227
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (100, 50, 'sqrt', 2, -1)",0.348780814,0.990241787,0.515864835,0.589369237,0.956359102,0.729298441,0.7004348,0.934457335,0.800696783,0.784262661,0.914236149,0.844276452,0.942898359,0.850428277,0.894279281,0.556622512
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (100, 5, 'log2', 2, -1)",0.351870771,0.989591239,0.519147363,0.576600672,0.958364957,0.720008146,0.69331191,0.935704218,0.79647447,0.791016726,0.912718204,0.847520765,0.942606185,0.849398244,0.893578191,0.553270606
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 50, 'log2', 2, -1)",0.353455954,0.989699664,0.520885643,0.584468395,0.958419169,0.726126422,0.694279047,0.935541581,0.797053254,0.791063029,0.911742383,0.847126379,0.942474152,0.849994579,0.893848697,0.551775412
RF,"['n_estimators', 'max_depth', 'max_features', 'min_samples_split', 'n_jobs'] = (10, 5, 'log2', 2, -1)",0.350742398,0.989916513,0.517962755,0.58692254,0.956684376,0.727516336,0.689829967,0.936951101,0.79462069,0.786397797,0.91331454,0.845117761,0.940756731,0.850536702,0.893374712,0.552779982
